Subject;Mouse;Cell Type;Group;Age;Sleep;mfr_s1;mfr_s2;mfr_s3;mfr_s4;mfr_s5;pfr_s1;pfr_s2;pfr_s3;pfr_s4;pfr_s5;outF_s1;outF_s2;outF_s3;outF_s4;outF_s5;NOfF_s1;NOfF_s2;NOfF_s3;NOfF_s4;NOfF_s5;InfoC_s1;InfoC_s2;InfoC_s3;InfoC_s4;InfoC_s5;RatRemap_Hab-S1;RatRemap_S1-S2;RatRemap_S2-S3;RatRemap_S3-test;SmFields_s1;SmFields_s2;SmFields_s3;SmFields_s4;SmFields_s5
R112C1_1;R112C;T1_1;Young_C;Young;control;0,2976;0,3682;0,4784;0,3088;0,5955;1,29965441;1,341534331;1,083453396;1,850210382;1,421719234;0,278731559;0,158046753;0,376677692;0,253306797;0,230589148;2;2;1;1;1;0,410359056;0,49454157;0,249828521;0,658546311;0,475431674;0,041879921;0,258080935;0,766756986;0,428491148;244;372;76;156;60
R112C1_2;R112C;T1_2;Young_C;Young;control;0,2976;0,3682;0,4784;0,3088;0,5955;5,350486267;5,563245984;3,082088233;4,179459939;1,891771611;0,276641892;0,451936377;0,607563906;0,762779478;0,603926779;2;4;1;1;NA;0,47363625;0,688358697;0,425860322;0,540464996;0,782901202;0,212759717;2,481157751;1,097371706;2,287688328;392;344;108;44;156
R112C6_1;R112C;T6_1;Young_C;Young;control;0,4006;0,6168;0,6955;0,7221;0,677;2,714716112;1,595282535;1,390111992;2,177693044;1,386930886;0,464585512;0,259052855;0,359863191;0,22476439;0,214753463;2;1;1;2;1;0,551299511;0,512890073;0,587329521;0,557033382;0,231121226;1,119433577;0,205170543;0,787581052;0,790762158;176;356;176;148;248
R112C6_2;R112C;T6_2;Young_C;Young;control;0,5647;0,405;0,4607;0,285;0,2977;2,629610804;2,189615516;1,515938378;1,994166414;1,684405808;0,136017383;0,235267493;0,324292027;0,329610565;0,216402734;2;1;3;1;1;0,645428768;0,369873466;0,593111467;0,533993854;1,080319605;0,439995288;0,673677138;0,478228036;0,309760606;204;56;148;60;72
R112C6_4;R112C;T6_4;Young_C;Young;control;0,7097;0,5293;0,6557;0,6271;0,8614;1,258179609;1,310944222;1,324840415;1,060557004;2,106121571;0,474586773;0,525985351;0,538823867;0,515855942;0,649292312;1;2;1;1;1;1,372069599;1,196615284;0,950361544;1,47075156;1,006968598;0,052764613;0,013896193;0,264283411;1,045564567;412;96;172;252;420
R81SD5_1;R81SD;T5_1;Young_SD;Young;restriction;0,274088528;0,367425785;0,541875571;0,472354077;0,427034578;2,112693623;0,740752129;1,180002474;4,864868009;3,478738089;0,15212467;0,106864795;0,226837917;0,219273136;0,200694635;1;1;1;1;1;1,568375788;NA;0,813970164;1,428244902;1,798766229;1,371941494;0,439250346;3,684865534;1,38612992;72;84;84;60;72
R81SD5_2;R81SD;T5_2;Young_SD;Young;restriction;0,244051429;0,129679689;0,189436175;0,347517643;0,306931103;8,324438696;6,125232329;9,093763953;10,61619699;8,203877171;0,119712126;0,071495399;0,088749739;0,347931897;0,248893582;1;1;1;1;1;NA;1,601972246;1,006962975;1,10606361;1,432981933;2,199206367;2,968531624;1,522433038;2,412319819;48;60;108;40;48
R81SD5_3;R81SD;T5_3;Young_SD;Young;restriction;1,077580927;1,27086095;1,956038648;1,089788336;1,464595155;4,400049103;2,671949811;2,907756395;2,482094927;1,975896332;0,690102347;0,564415224;1,009907439;0,798965557;1,123730542;1;1;1;1;2;1,423107159;1,394531437;0,990491945;1,351556577;1,037561396;1,728099292;0,235806583;0,425661467;0,506198596;64;104;44;60;144
R81SD5_4;R81SD;T5_4;Young_SD;Young;restriction;0,773455299;0,497105474;0,960397354;0,99531752;0,473741485;5,410386141;4,236440315;6,361505755;4,013222836;4,951375689;0,351083966;0,258608188;0,525902081;0,542874994;0,366861982;1;1;1;2;2;0,747869579;0,946701043;0,393516353;0,810042561;0,81151622;1,173945826;2,12506544;2,348282919;0,938152853;88;116;80;224;180
R81SD5_5;R81SD;T5_5;Young_SD;Young;restriction;0,769700662;1,145503918;1,934011186;1,440679936;0,900776064;3,278500079;2,735360018;3,432190691;3,738563906;3,899787621;0,660914569;0,744660165;1,283590813;0,717062073;0,591873295;1;2;2;2;1;0,687506892;0,910294805;0,579482963;1,207046444;0,872980057;0,543140062;0,696830673;0,306373215;0,161223714;88;172;164;196;128
